LVV Plateau Nord - Base de données Comptages;;;;;;Idéalement tranches de 15';;;;;;
JJ/MM/AAAA;Liste;Provenance/Destination;Sud/Nord/Montant...;H/F/Mixte/Enfant;Vélo/Cargos/EDPM;HH:MM;HH:MM;/!\ Bien indiquer 0 si personne;;Nom Prénom;;
Date;Point comptage;Flux;Direction;Genre;Véhicule;Heure début;Heure fin;Nombre comptés;Remarques;Compteur;;
03/12/2024;Avenue des Cottages;Cottages;Descente;Indéfini/Mixte;Vélo;07:30;09:00;135;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Cottages;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;7;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Cottages;Montée;Indéfini/Mixte;Vélo;07:30;09:00;25;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Cottages;Montée;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;5;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Montée des Soldats;Descente;Indéfini/Mixte;Vélo;07:30;09:00;43;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Montée des Soldats;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;2;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Montée des Soldats;Montée;Indéfini/Mixte;Vélo;07:30;09:00;17;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Montée des Soldats;Montée;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;1;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Chemin de Boutary;Descente;Indéfini/Mixte;Vélo;07:30;09:00;27;Cargos non distingués;Daniel;;
03/12/2024;Avenue des Cottages;Chemin de Boutary;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;4;Cargos non distingués;Daniel;;
06/12/2022;Avenue des Cottages;Cottages;Tous;Indéfini/Mixte;Vélo;07:30;09:00;88;Intersection St Martin-Comptages;;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;07:30;07:45;6;Dont un sans lumière;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;07:30;07:45;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Trotinette/EDPM;07:30;07:45;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Masculin;Trotinette/EDPM;07:45;08:00;2;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;07:45;08:00;2;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;07:45;08:00;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Trotinette/EDPM;07:45;08:00;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Féminin;Vélo;08:00;08:15;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:00;08:15;3;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:00;08:15;4;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:15;08:30;4;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:15;08:30;2;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Trotinette/EDPM;08:15;08:30;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Trotinette/EDPM;08:15;08:30;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Masculin;Cargo/Longtail/Remorque;08:30;08:45;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:30;08:45;3;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:30;08:45;10;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Trotinette/EDPM;08:30;08:45;2;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Montée;Masculin;Vélo;08:45;09:00;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Vélo;08:45;09:00;1;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Féminin;Cargo/Longtail/Remorque;08:45;09:00;3;;Rémi;;
03/12/2024;Bas Montée Bonnafous;Plateau - Rhône;Descente;Masculin;Vélo;08:45;09:00;8;;Rémi;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;07:30;07:45;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;07:30;07:45;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;07:30;07:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;07:30;07:45;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;07:30;07:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Trotinette/EDPM;07:30;07:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;07:30;07:45;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Trotinette/EDPM;07:30;07:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;07:30;07:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;07:30;07:45;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;07:45;08:00;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;07:45;08:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;07:45;08:00;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;07:45;08:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Cargo/Longtail/Remorque;07:45;08:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;07:45;08:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;07:45;08:00;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;07:45;08:00;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Trotinette/EDPM;07:45;08:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;07:45;08:00;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;07:45;08:00;4;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Trotinette/EDPM;07:45;08:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:00;08:15;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Trotinette/EDPM;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:00;08:15;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Trotinette/EDPM;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:00;08:15;1;;Audrey & Léa;;
