count;start_time;end_time
135.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
7.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
25.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
5.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
43.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
2.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
17.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
27.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
4.0;2024-12-03 07:30:00+01:00;2024-12-03 09:00:00+01:00
88.0;2022-12-06 07:30:00+01:00;2022-12-06 09:00:00+01:00
6.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
2.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
2.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
3.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
4.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
4.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
2.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
3.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
10.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
2.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
3.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
8.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
3.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
2.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
3.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
2.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
1.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
2.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
3.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
2.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
3.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
2.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
3.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
4.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
1.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
2.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
3.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
5.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
4.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
1.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
2.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
2.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
3.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
5.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
3.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
4.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
2.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
7.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
2.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
3.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
6.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
3.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
4.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
3.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
4.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
3.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
2.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
2.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
4.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
3.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
1.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
0.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
0.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
0.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
0.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
0.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
0.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
0.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
0.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
0.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
0.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
0.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
0.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
0.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
0.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
0.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
0.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
0.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
0.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
0.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
0.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
0.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
0.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
0.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
0.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
0.0;2024-12-03 08:15:00+01:00;2024-12-03 08:30:00+01:00
0.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
0.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
0.0;2024-12-03 07:30:00+01:00;2024-12-03 07:45:00+01:00
0.0;2024-12-03 07:45:00+01:00;2024-12-03 08:00:00+01:00
0.0;2024-12-03 08:00:00+01:00;2024-12-03 08:15:00+01:00
0.0;2024-12-03 08:30:00+01:00;2024-12-03 08:45:00+01:00
0.0;2024-12-03 08:45:00+01:00;2024-12-03 09:00:00+01:00
3.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
1.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
1.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
1.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
1.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
3.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
1.0;2025-06-10 07:30:00+02:00;2025-06-10 07:45:00+02:00
3.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
2.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
2.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
2.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
2.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
1.0;2025-06-10 07:45:00+02:00;2025-06-10 08:00:00+02:00
2.0;2025-06-10 08:00:00+02:00;2025-06-10 08:15:00+02:00
1.0;2025-06-10 08:00:00+02:00;2025-06-10 08:15:00+02:00
1.0;2025-06-10 08:00:00+02:00;2025-06-10 08:15:00+02:00
1.0;2025-06-10 08:00:00+02:00;2025-06-10 08:15:00+02:00
1.0;2025-06-10 08:00:00+02:00;2025-06-10 08:15:00+02:00
1.0;2025-06-10 08:00:00+02:00;2025-06-10 08:15:00+02:00
