identifiant;horodate;pluie_mm
1;2022-04-01 02:48:00+02:00;0,1
1;2022-04-01 03:48:00+02:00;0,0
1;2022-04-01 04:06:00+02:00;0,2
1;2022-04-01 04:12:00+02:00;0,1
1;2022-04-01 04:24:00+02:00;0,1
1;2022-04-01 04:30:00+02:00;0,1
1;2022-04-01 04:36:00+02:00;0,1
1;2022-04-01 04:42:00+02:00;0,1
1;2022-04-01 04:54:00+02:00;0,1
1;2022-04-01 05:00:00+02:00;0,1
1;2022-04-01 05:12:00+02:00;0,1
1;2022-04-01 05:18:00+02:00;0,1
1;2022-04-01 05:24:00+02:00;0,1
1;2022-04-01 05:30:00+02:00;0,1
1;2022-04-01 05:36:00+02:00;0,1
1;2022-04-01 05:42:00+02:00;0,1
1;2022-04-01 05:48:00+02:00;0,2
1;2022-04-01 05:54:00+02:00;0,1
1;2022-04-01 06:00:00+02:00;0,1
1;2022-04-01 06:06:00+02:00;0,2
1;2022-04-01 06:12:00+02:00;0,1
1;2022-04-01 06:18:00+02:00;0,2
1;2022-04-01 06:24:00+02:00;0,2
1;2022-04-01 06:30:00+02:00;0,2
1;2022-04-01 06:36:00+02:00;0,2
1;2022-04-01 06:42:00+02:00;0,3
1;2022-04-01 06:48:00+02:00;0,3
1;2022-04-01 06:54:00+02:00;0,3
1;2022-04-01 07:00:00+02:00;0,3
1;2022-04-01 07:06:00+02:00;0,2
1;2022-04-01 07:12:00+02:00;0,1
1;2022-04-01 07:18:00+02:00;0,2
1;2022-04-01 07:24:00+02:00;0,1
1;2022-04-01 07:30:00+02:00;0,1
1;2022-04-01 07:42:00+02:00;0,2
1;2022-04-01 08:00:00+02:00;0,1
1;2022-04-01 08:06:00+02:00;0,1
1;2022-04-01 08:12:00+02:00;0,1
1;2022-04-01 08:18:00+02:00;0,2
1;2022-04-01 08:24:00+02:00;0,1
1;2022-04-01 08:30:00+02:00;0,2
1;2022-04-01 08:36:00+02:00;0,1
1;2022-04-01 09:36:00+02:00;0,0
1;2022-04-01 19:36:00+02:00;0,2
1;2022-04-01 20:36:00+02:00;0,0
1;2022-04-01 21:30:00+02:00;0,3
1;2022-04-01 21:36:00+02:00;0,2
1;2022-04-01 21:42:00+02:00;0,1
1;2022-04-01 21:48:00+02:00;0,2
1;2022-04-01 21:54:00+02:00;0,4
1;2022-04-01 22:00:00+02:00;0,2
1;2022-04-01 22:06:00+02:00;0,2
1;2022-04-01 22:12:00+02:00;0,2
1;2022-04-01 22:24:00+02:00;0,1
1;2022-04-01 22:30:00+02:00;0,1
1;2022-04-01 22:42:00+02:00;0,1
1;2022-04-01 22:48:00+02:00;0,1
1;2022-04-01 23:00:00+02:00;0,1
1;2022-04-01 23:12:00+02:00;0,1
1;2022-04-01 23:30:00+02:00;0,1
1;2022-04-01 23:36:00+02:00;0,1
1;2022-04-01 23:48:00+02:00;0,1
1;2022-04-01 23:54:00+02:00;0,1
1;2022-04-02 00:06:00+02:00;0,1
1;2022-04-02 00:24:00+02:00;0,1
1;2022-04-02 00:48:00+02:00;0,1
1;2022-04-02 00:54:00+02:00;0,1
1;2022-04-02 01:00:00+02:00;0,1
1;2022-04-02 01:06:00+02:00;0,1
1;2022-04-02 01:12:00+02:00;0,1
1;2022-04-02 01:18:00+02:00;0,1
1;2022-04-02 01:30:00+02:00;0,1
1;2022-04-02 01:48:00+02:00;0,1
1;2022-04-02 02:18:00+02:00;0,1
1;2022-04-02 02:36:00+02:00;0,1
1;2022-04-02 02:48:00+02:00;0,2
1;2022-04-02 03:00:00+02:00;0,1
1;2022-04-02 03:12:00+02:00;0,1
1;2022-04-02 03:18:00+02:00;0,1
1;2022-04-02 03:24:00+02:00;0,1
1;2022-04-02 03:30:00+02:00;0,1
1;2022-04-02 04:06:00+02:00;0,1
