datetime;total_count;avg_temp_per_hour;avg_pluie_per_hour
2023-01-01T00:00:00.000+01:00;1888;15.14;0.0
2023-01-01T01:00:00.000+01:00;2283;14.91;0.0
2023-01-01T02:00:00.000+01:00;2408;14.72;0.0
2023-01-01T03:00:00.000+01:00;2694;14.88;0.0
2023-01-01T04:00:00.000+01:00;1998;14.89;0.0
2023-01-01T05:00:00.000+01:00;1501;14.78;0.0
2023-01-01T06:00:00.000+01:00;1041;14.59;0.0
2023-01-01T07:00:00.000+01:00;744;14.43;0.0
2023-01-01T08:00:00.000+01:00;1052;14.4;0.3
2023-01-01T09:00:00.000+01:00;1524;14.83;0.1
2023-01-01T10:00:00.000+01:00;2652;15.71;0.0
2023-01-01T11:00:00.000+01:00;4311;16.58;0.0
2023-01-01T12:00:00.000+01:00;5022;16.87;0.0
2023-01-01T13:00:00.000+01:00;4816;17.04;0.0
2023-01-01T14:00:00.000+01:00;6020;16.85;0.1
2023-01-01T15:00:00.000+01:00;7214;16.34;0.0
2023-01-01T16:00:00.000+01:00;6399;16.01;0.0
2023-01-01T17:00:00.000+01:00;5123;15.67;0.0
2023-01-01T18:00:00.000+01:00;4599;15.63;0.0
2023-01-01T19:00:00.000+01:00;4552;15.46;0.1
2023-01-01T20:00:00.000+01:00;3735;15.33;0.0
2023-01-01T21:00:00.000+01:00;2691;15.33;0.0
2023-01-01T22:00:00.000+01:00;1933;15.48;0.0
2023-01-01T23:00:00.000+01:00;1414;15.34;0.0
2023-01-02T00:00:00.000+01:00;1188;15.23;0.0
2023-01-02T01:00:00.000+01:00;760;15.11;0.0
2023-01-02T02:00:00.000+01:00;498;14.81;0.0
2023-01-02T03:00:00.000+01:00;381;14.63;0.0
2023-01-02T04:00:00.000+01:00;489;14.6;0.1
2023-01-02T05:00:00.000+01:00;977;14.54;0.1
2023-01-02T06:00:00.000+01:00;2257;14.47;0.0
2023-01-02T07:00:00.000+01:00;6962;14.42;0.0
2023-01-02T08:00:00.000+01:00;18803;14.45;0.0
2023-01-02T09:00:00.000+01:00;8143;14.49;0.0
2023-01-02T10:00:00.000+01:00;5381;14.49;0.0
2023-01-02T11:00:00.000+01:00;6542;14.64;0.0
2023-01-02T12:00:00.000+01:00;8741;14.89;0.0
2023-01-02T13:00:00.000+01:00;8286;14.9;0.17
2023-01-02T14:00:00.000+01:00;7535;14.73;0.5
2023-01-02T15:00:00.000+01:00;7328;14.65;0.2
2023-01-02T16:00:00.000+01:00;9827;14.5;0.15
2023-01-02T17:00:00.000+01:00;14620;12.9;0.88
2023-01-02T18:00:00.000+01:00;15580;11.01;2.02
2023-01-02T19:00:00.000+01:00;8436;10.29;1.89
2023-01-02T20:00:00.000+01:00;4980;10.03;1.09
2023-01-02T21:00:00.000+01:00;3142;9.66;0.51
2023-01-02T22:00:00.000+01:00;2242;9.41;0.2
2023-01-02T23:00:00.000+01:00;1343;9.21;0.87
2023-01-03T00:00:00.000+01:00;683;9.06;0.6
2023-01-03T01:00:00.000+01:00;604;8.89;0.23
2023-01-03T02:00:00.000+01:00;380;8.84;0.27
2023-01-03T03:00:00.000+01:00;451;8.88;0.23
2023-01-03T04:00:00.000+01:00;540;8.87;0.12
2023-01-03T05:00:00.000+01:00;1241;8.76;0.1
2023-01-03T06:00:00.000+01:00;3860;8.69;0.14
2023-01-03T07:00:00.000+01:00;16488;8.66;0.0
2023-01-03T08:00:00.000+01:00;40537;8.73;0.0
2023-01-03T09:00:00.000+01:00;14660;8.94;0.0
