datetime;total_count;avg_temp_per_hour;avg_pluie_per_hour
2020-01-01T00:00:00.000+01:00;822;0.67;0.0
2020-01-01T01:00:00.000+01:00;1216;0.56;0.0
2020-01-01T02:00:00.000+01:00;1305;0.28;0.0
2020-01-01T03:00:00.000+01:00;1540;0.25;0.0
2020-01-01T04:00:00.000+01:00;1190;0.44;0.0
2020-01-01T05:00:00.000+01:00;973;0.47;0.0
2020-01-01T06:00:00.000+01:00;605;0.34;0.0
2020-01-01T07:00:00.000+01:00;608;0.19;0.0
2020-01-01T08:00:00.000+01:00;748;0.25;0.0
2020-01-01T09:00:00.000+01:00;842;0.13;0.0
2020-01-01T10:00:00.000+01:00;1305;0.22;0.2
2020-01-01T11:00:00.000+01:00;2117;0.47;0.0
2020-01-01T12:00:00.000+01:00;2355;0.84;0.0
2020-01-01T13:00:00.000+01:00;2553;1.03;0.0
2020-01-01T14:00:00.000+01:00;3215;1.31;0.0
2020-01-01T15:00:00.000+01:00;3890;1.44;0.0
2020-01-01T16:00:00.000+01:00;3882;1.41;0.0
2020-01-01T17:00:00.000+01:00;3378;1.25;0.0
2020-01-01T18:00:00.000+01:00;2878;1.08;0.0
2020-01-01T19:00:00.000+01:00;2802;1.16;0.0
2020-01-01T20:00:00.000+01:00;1997;1.25;0.0
2020-01-01T21:00:00.000+01:00;1547;1.19;0.0
2020-01-01T22:00:00.000+01:00;1167;1.09;0.0
2020-01-01T23:00:00.000+01:00;763;0.81;0.0
2020-01-02T00:00:00.000+01:00;416;0.63;0.0
2020-01-02T01:00:00.000+01:00;292;0.47;0.0
2020-01-02T02:00:00.000+01:00;140;0.16;0.0
2020-01-02T03:00:00.000+01:00;177;-0.06;0.0
2020-01-02T04:00:00.000+01:00;252;-0.06;0.0
2020-01-02T05:00:00.000+01:00;399;-0.22;0.0
2020-01-02T06:00:00.000+01:00;1334;-0.31;0.0
2020-01-02T07:00:00.000+01:00;4025;-0.5;0.0
2020-01-02T08:00:00.000+01:00;11427;-0.44;0.0
2020-01-02T09:00:00.000+01:00;6790;-0.25;0.0
2020-01-02T10:00:00.000+01:00;3404;-0.19;0.0
2020-01-02T11:00:00.000+01:00;4079;-0.16;0.0
2020-01-02T12:00:00.000+01:00;5537;0.25;0.0
2020-01-02T13:00:00.000+01:00;5156;0.78;0.0
2020-01-02T14:00:00.000+01:00;5233;1.47;0.0
2020-01-02T15:00:00.000+01:00;5581;2.22;0.0
2020-01-02T16:00:00.000+01:00;6990;2.67;0.0
2020-01-02T17:00:00.000+01:00;11546;2.25;0.0
2020-01-02T18:00:00.000+01:00;12732;2.28;0.0
2020-01-02T19:00:00.000+01:00;7460;2.44;0.0
2020-01-02T20:00:00.000+01:00;4008;2.5;0.0
2020-01-02T21:00:00.000+01:00;2345;2.72;0.0
2020-01-02T22:00:00.000+01:00;2090;2.75;0.2
2020-01-02T23:00:00.000+01:00;1561;2.81;0.0
2020-01-03T00:00:00.000+01:00;919;2.75;0.0
2020-01-03T01:00:00.000+01:00;574;2.91;0.2
2020-01-03T02:00:00.000+01:00;331;3.25;0.0
2020-01-03T03:00:00.000+01:00;293;3.6;0.0
2020-01-03T04:00:00.000+01:00;304;3.38;0.0
2020-01-03T05:00:00.000+01:00;413;3.72;0.0
2020-01-03T06:00:00.000+01:00;1351;3.72;0.0
2020-01-03T07:00:00.000+01:00;4633;3.44;0.0
2020-01-03T08:00:00.000+01:00;12832;3.38;0.0
2020-01-03T09:00:00.000+01:00;7684;3.31;0.0
2020-01-03T10:00:00.000+01:00;4535;4.41;0.0
2020-01-03T11:00:00.000+01:00;5481;5.06;0.0
2020-01-03T12:00:00.000+01:00;7247;6.31;0.0
2020-01-03T13:00:00.000+01:00;6108;7.46;0.0
2020-01-03T14:00:00.000+01:00;7182;8.16;0.0
2020-01-03T15:00:00.000+01:00;7789;8.53;0.0
2020-01-03T16:00:00.000+01:00;10081;8.84;0.2
