datetime;total_count;avg_temp_per_hour;avg_pluie_per_hour
2022-03-31T23:00:00.000+01:00;3607;7.4;0.1
2022-04-01T00:00:00.000+01:00;1762;6.96;0.0
2022-04-01T01:00:00.000+01:00;1207;6.49;0.2
2022-04-01T02:00:00.000+01:00;878;4.51;0.75
2022-04-01T03:00:00.000+01:00;652;2.7;1.18
2022-04-01T04:00:00.000+01:00;885;2.11;1.3
2022-04-01T05:00:00.000+01:00;2315;1.55;1.53
2022-04-01T06:00:00.000+01:00;9696;1.37;1.07
2022-04-01T07:00:00.000+01:00;21176;1.51;0.6
2022-04-01T08:00:00.000+01:00;11340;1.86;0.32
2022-04-01T09:00:00.000+01:00;6401;2.14;1.04
2022-04-01T10:00:00.000+01:00;7415;2.29;0.93
2022-04-01T11:00:00.000+01:00;11734;2.44;0.53
2022-04-01T12:00:00.000+01:00;10602;2.47;0.4
2022-04-01T13:00:00.000+01:00;8518;2.5;0.2
2022-04-01T14:00:00.000+01:00;8810;2.54;0.45
2022-04-01T15:00:00.000+01:00;13040;3.38;1.95
2022-04-01T16:00:00.000+01:00;20039;3.88;0.0
2022-04-01T17:00:00.000+01:00;18692;4.07;0.0
2022-04-01T18:00:00.000+01:00;14181;3.88;0.32
2022-04-01T19:00:00.000+01:00;9144;3.65;0.3
2022-04-01T20:00:00.000+01:00;5219;3.11;0.95
2022-04-01T21:00:00.000+01:00;3760;1.33;1.09
2022-04-01T22:00:00.000+01:00;3557;1.31;0.57
2022-04-01T23:00:00.000+01:00;2513;1.42;0.62
2022-04-02T00:00:00.000+01:00;1694;1.55;0.48
2022-04-02T01:00:00.000+01:00;1556;1.44;0.25
2022-04-02T02:00:00.000+01:00;1193;1.04;0.29
2022-04-02T03:00:00.000+01:00;1042;0.83;0.29
2022-04-02T04:00:00.000+01:00;663;0.67;0.18
2022-04-02T05:00:00.000+01:00;831;0.57;0.17
2022-04-02T06:00:00.000+01:00;1377;0.29;0.26
2022-04-02T07:00:00.000+01:00;2936;0.31;0.33
2022-04-02T08:00:00.000+01:00;4598;0.68;0.34
2022-04-02T09:00:00.000+01:00;5146;1.06;0.38
2022-04-02T10:00:00.000+01:00;6244;1.56;0.35
2022-04-02T11:00:00.000+01:00;7058;2.04;0.4
2022-04-02T12:00:00.000+01:00;6533;2.46;0.0
2022-04-02T13:00:00.000+01:00;7281;2.57;0.1
2022-04-02T14:00:00.000+01:00;8840;3.13;0.1
2022-04-02T15:00:00.000+01:00;9945;3.32;0.1
2022-04-02T16:00:00.000+01:00;9991;3.31;0.0
2022-04-02T17:00:00.000+01:00;8939;3.26;0.0
2022-04-02T18:00:00.000+01:00;8426;2.69;0.1
2022-04-02T19:00:00.000+01:00;5770;2.21;0.1
2022-04-02T20:00:00.000+01:00;3505;2.22;0.0
2022-04-02T21:00:00.000+01:00;2975;2.21;0.0
2022-04-02T22:00:00.000+01:00;2969;2.21;0.1
2022-04-02T23:00:00.000+01:00;2548;1.82;0.1
2022-04-03T00:00:00.000+01:00;2467;1.52;0.0
2022-04-03T01:00:00.000+01:00;1884;1.06;0.0
2022-04-03T02:00:00.000+01:00;1734;0.97;0.0
2022-04-03T03:00:00.000+01:00;1235;1.14;0.0
2022-04-03T04:00:00.000+01:00;910;1.19;0.0
2022-04-03T05:00:00.000+01:00;875;1.0;0.0
2022-04-03T06:00:00.000+01:00;1053;0.91;0.0
2022-04-03T07:00:00.000+01:00;2368;1.06;0.0
2022-04-03T08:00:00.000+01:00;4283;1.35;0.0
2022-04-03T09:00:00.000+01:00;6656;1.86;0.0
2022-04-03T10:00:00.000+01:00;8396;2.81;0.0
2022-04-03T11:00:00.000+01:00;9209;3.83;0.0
2022-04-03T12:00:00.000+01:00;7880;4.56;0.0
2022-04-03T13:00:00.000+01:00;9033;5.32;0.0
2022-04-03T14:00:00.000+01:00;10894;5.52;0.0
2022-04-03T15:00:00.000+01:00;11234;5.46;0.0
2022-04-03T16:00:00.000+01:00;10403;5.64;0.0
2022-04-03T17:00:00.000+01:00;9775;5.53;0.0
2022-04-03T18:00:00.000+01:00;8212;5.07;0.0
