datetime;total_count;avg_temp_per_hour;avg_pluie_per_hour
2023-03-31T23:00:00.000+01:00;4008;11.05;0.0
2023-04-01T00:00:00.000+01:00;2949;10.6;0.0
2023-04-01T01:00:00.000+01:00;2191;9.77;0.0
2023-04-01T02:00:00.000+01:00;1631;9.41;0.0
2023-04-01T03:00:00.000+01:00;1281;9.34;0.14
2023-04-01T04:00:00.000+01:00;864;9.44;0.12
2023-04-01T05:00:00.000+01:00;1266;9.41;0.25
2023-04-01T06:00:00.000+01:00;2150;9.2;0.0
2023-04-01T07:00:00.000+01:00;5061;9.64;0.19
2023-04-01T08:00:00.000+01:00;7508;10.36;0.1
2023-04-01T09:00:00.000+01:00;7590;11.13;0.2
2023-04-01T10:00:00.000+01:00;8704;11.83;0.19
2023-04-01T11:00:00.000+01:00;9726;12.58;0.12
2023-04-01T12:00:00.000+01:00;8457;13.27;0.15
2023-04-01T13:00:00.000+01:00;9510;14.41;0.9
2023-04-01T14:00:00.000+01:00;9264;13.57;4.89
2023-04-01T15:00:00.000+01:00;5239;9.64;2.77
2023-04-01T16:00:00.000+01:00;7776;9.2;0.48
2023-04-01T17:00:00.000+01:00;8253;9.47;0.8
2023-04-01T18:00:00.000+01:00;9172;9.52;0.45
2023-04-01T19:00:00.000+01:00;6180;9.14;0.16
2023-04-01T20:00:00.000+01:00;3714;8.68;1.06
2023-04-01T21:00:00.000+01:00;3197;8.42;0.52
2023-04-01T22:00:00.000+01:00;3742;8.29;0.16
2023-04-01T23:00:00.000+01:00;3916;8.11;0.0
2023-04-02T00:00:00.000+01:00;2575;8.1;0.0
2023-04-02T01:00:00.000+01:00;1977;8.25;0.0
2023-04-02T02:00:00.000+01:00;1543;8.34;0.0
2023-04-02T03:00:00.000+01:00;1255;8.49;0.0
2023-04-02T04:00:00.000+01:00;843;8.48;0.87
2023-04-02T05:00:00.000+01:00;708;8.13;2.0
2023-04-02T06:00:00.000+01:00;695;7.84;0.86
2023-04-02T07:00:00.000+01:00;1713;7.98;0.41
2023-04-02T08:00:00.000+01:00;3803;8.53;0.44
2023-04-02T09:00:00.000+01:00;4407;8.89;1.04
2023-04-02T10:00:00.000+01:00;4963;9.13;0.99
2023-04-02T11:00:00.000+01:00;5137;9.22;0.72
2023-04-02T12:00:00.000+01:00;4589;9.35;0.35
2023-04-02T13:00:00.000+01:00;4805;9.83;0.14
2023-04-02T14:00:00.000+01:00;6410;10.36;0.26
2023-04-02T15:00:00.000+01:00;5290;10.17;0.28
