identifiant;horodate;pluie_mm
1;29/04/2022 19:42;0,1
1;29/04/2022 19:36;0,1
1;26/04/2022 00:24;0,1
1;26/04/2022 00:12;0,1
1;26/04/2022 00:06;0,1
1;25/04/2022 23:48;0,1
1;25/04/2022 23:42;0,1
1;25/04/2022 23:36;0,1
1;25/04/2022 23:30;0,1
1;25/04/2022 23:24;0,1
1;25/04/2022 23:18;0,1
1;25/04/2022 23:12;0,4
1;25/04/2022 23:06;0,3
1;25/04/2022 23:00;1
1;25/04/2022 22:54;2,3
1;25/04/2022 02:12;0,1
1;25/04/2022 01:30;0,1
1;25/04/2022 01:06;0,1
1;25/04/2022 00:24;0,1
1;25/04/2022 00:18;0,1
1;25/04/2022 00:12;0,1
1;25/04/2022 00:06;0,2
1;25/04/2022 00:00;0,2
1;24/04/2022 23:54;0,1
1;24/04/2022 23:48;0,1
1;24/04/2022 23:36;0,1
1;24/04/2022 23:18;0,1
1;24/04/2022 22:54;0,1
1;24/04/2022 22:48;0,2
1;24/04/2022 22:36;0,2
1;24/04/2022 22:30;0,1
1;24/04/2022 22:24;0,3
1;24/04/2022 22:18;0,2
1;24/04/2022 22:12;0,3
1;24/04/2022 22:06;0,1
1;24/04/2022 22:00;0,1
1;24/04/2022 21:54;0,3
1;24/04/2022 21:48;0,5
1;24/04/2022 21:42;0,2
1;24/04/2022 21:36;0,4
1;24/04/2022 21:30;0,1
1;24/04/2022 21:24;0,3
1;24/04/2022 21:00;0,1
1;24/04/2022 20:54;0,1
1;24/04/2022 20:24;0,3
1;24/04/2022 20:18;0,1
1;24/04/2022 20:12;0,2
1;24/04/2022 20:06;0,2
1;24/04/2022 19:30;0,1
1;23/04/2022 19:24;0,2
1;23/04/2022 19:06;0,3
1;23/04/2022 19:00;0,3
1;23/04/2022 18:54;0,3
1;23/04/2022 18:42;0,2
1;23/04/2022 18:36;0,4
1;23/04/2022 18:30;0,3
1;23/04/2022 18:24;0,5
1;23/04/2022 18:18;0,3
1;23/04/2022 18:12;0,5
1;23/04/2022 18:06;0,5
1;23/04/2022 18:00;0,6
1;23/04/2022 17:54;1,5
1;23/04/2022 17:48;1,4
1;23/04/2022 17:42;0,1
1;23/04/2022 17:30;0,1
1;09/04/2022 20:12;0,1
1;09/04/2022 20:06;0,3
1;09/04/2022 14:24;0,2
1;09/04/2022 09:30;0,1
1;09/04/2022 09:18;0,1
1;09/04/2022 09:12;0,1
1;09/04/2022 08:54;0,1
1;08/04/2022 16:24;0,1
1;08/04/2022 05:30;0,1
1;08/04/2022 05:00;0,1
1;08/04/2022 04:12;0,1
1;08/04/2022 03:54;0,1
1;08/04/2022 03:42;0,1
1;08/04/2022 03:18;0,1
1;08/04/2022 03:06;0,1
1;08/04/2022 02:30;0,1
1;08/04/2022 02:24;0,1
1;08/04/2022 02:18;0,1
1;07/04/2022 17:48;0,1
1;07/04/2022 17:06;0,1
1;07/04/2022 16:48;0,1
1;07/04/2022 14:54;0,1
1;07/04/2022 14:48;0,3
1;07/04/2022 14:42;0,1
1;07/04/2022 14:36;0,1
1;07/04/2022 14:30;0,1
1;06/04/2022 23:54;0,1
1;06/04/2022 23:48;0,2
1;06/04/2022 23:30;0,2
1;02/04/2022 10:18;0,1
1;02/04/2022 09:54;0,1
1;02/04/2022 09:36;0,1
1;02/04/2022 09:18;0,1
1;02/04/2022 09:06;0,1
