date;debut;end;count;count_b
03/12/2024;07:30:00;09:00:00;135;
03/12/2024;07:30:00;09:00:00;7;
03/12/2024;07:30:00;09:00:00;25;
03/12/2024;07:30:00;09:00:00;5;
03/12/2024;07:30:00;09:00:00;43;
03/12/2024;07:30:00;09:00:00;2;
03/12/2024;07:30:00;09:00:00;17;
03/12/2024;07:30:00;09:00:00;1;
03/12/2024;07:30:00;09:00:00;27;
03/12/2024;07:30:00;09:00:00;4;
06/12/2022;07:30:00;09:00:00;88;
03/12/2024;07:30:00;07:45:00;6;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:45:00;08:00:00;2;
03/12/2024;07:45:00;08:00:00;2;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;3;
03/12/2024;08:00:00;08:15:00;4;
03/12/2024;08:15:00;08:30:00;4;
03/12/2024;08:15:00;08:30:00;2;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;3;
03/12/2024;08:30:00;08:45:00;10;
03/12/2024;08:30:00;08:45:00;2;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;3;
03/12/2024;08:45:00;09:00:00;8;
03/12/2024;07:30:00;07:45:00;3;
03/12/2024;07:30:00;07:45:00;2;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:30:00;07:45:00;3;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:30:00;07:45:00;2;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:30:00;07:45:00;1;
03/12/2024;07:30:00;07:45:00;2;
03/12/2024;07:45:00;08:00:00;3;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:45:00;08:00:00;2;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:45:00;08:00:00;3;
03/12/2024;07:45:00;08:00:00;2;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;07:45:00;08:00:00;3;
03/12/2024;07:45:00;08:00:00;4;
03/12/2024;07:45:00;08:00:00;1;
03/12/2024;08:00:00;08:15:00;2;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;3;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:00:00;08:15:00;5;
03/12/2024;08:00:00;08:15:00;4;
03/12/2024;08:00:00;08:15:00;1;
03/12/2024;08:15:00;08:30:00;2;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;2;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;3;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;5;
03/12/2024;08:15:00;08:30:00;3;
03/12/2024;08:15:00;08:30:00;4;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;2;
03/12/2024;08:15:00;08:30:00;7;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:15:00;08:30:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;2;
03/12/2024;08:30:00;08:45:00;3;
03/12/2024;08:30:00;08:45:00;6;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;3;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;4;
03/12/2024;08:30:00;08:45:00;3;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;4;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:45:00;09:00:00;3;
03/12/2024;08:45:00;09:00:00;2;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;2;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:30:00;08:45:00;1;
03/12/2024;08:45:00;09:00:00;4;
03/12/2024;08:45:00;09:00:00;3;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;08:45:00;09:00:00;1;
03/12/2024;07:30:00;07:45:00;0;
03/12/2024;07:45:00;08:00:00;0;
03/12/2024;08:00:00;08:15:00;0;
03/12/2024;08:15:00;08:30:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;08:15:00;08:30:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;07:30:00;07:45:00;0;
03/12/2024;07:45:00;08:00:00;0;
03/12/2024;08:00:00;08:15:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;07:30:00;07:45:00;0;
03/12/2024;07:45:00;08:00:00;0;
03/12/2024;08:00:00;08:15:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;07:45:00;08:00:00;0;
03/12/2024;08:00:00;08:15:00;0;
03/12/2024;08:15:00;08:30:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;07:30:00;07:45:00;0;
03/12/2024;07:45:00;08:00:00;0;
03/12/2024;08:00:00;08:15:00;0;
03/12/2024;08:15:00;08:30:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:45:00;09:00:00;0;
03/12/2024;07:30:00;07:45:00;0;
03/12/2024;07:45:00;08:00:00;0;
03/12/2024;08:00:00;08:15:00;0;
03/12/2024;08:30:00;08:45:00;0;
03/12/2024;08:45:00;09:00:00;0;
10/06/2025;07:30:00;07:45:00;3;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:30:00;07:45:00;3;
10/06/2025;07:30:00;07:45:00;1;
10/06/2025;07:45:00;08:00:00;3;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;2;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;07:45:00;08:00:00;1;
10/06/2025;08:00:00;08:15:00;2;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;2;
10/06/2025;08:00:00;08:15:00;3;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;2;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:00:00;08:15:00;1;
10/06/2025;08:15:00;08:30:00;5;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;2;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;5;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;9;
10/06/2025;08:15:00;08:30:00;2;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;3;
10/06/2025;08:15:00;08:30:00;1;
10/06/2025;08:15:00;08:30:00;8;
10/06/2025;08:15:00;08:30:00;2;
