channel_id;channel_provider_id;mobility_type;started_at;last_updated_at;time_step
69091.00052.02.00;69091.00052.02.00;PEDESTRIAN;2025-12-15 14:00:00+01:00;2025-12-17 09:00:00+01:00;3600
69091.00052.02.01;69091.00052.02.01;PEDESTRIAN;2025-12-15 14:00:00+01:00;2025-12-17 09:00:00+01:00;3600
353479605;353479605;E-SCOOTER;2024-07-01 00:00:00+02:00;2025-11-15 00:15:00+01:00;900
353479606;353479606;E-SCOOTER;2024-07-01 00:00:00+02:00;2025-11-15 00:15:00+01:00;900
353480099;353480099;E-SCOOTER;2024-07-01 00:00:00+02:00;2025-11-15 00:15:00+01:00;900
353480103;353480103;E-SCOOTER;2024-07-01 00:00:00+02:00;2025-11-15 00:15:00+01:00;900
353480095;353480095;BIKE;2024-09-02 00:00:00+02:00;2024-10-18 18:00:00+02:00;900
69256.00190.02.00;69256.00190.02.00;PEDESTRIAN;2024-04-30 22:00:00+02:00;2025-10-23 14:00:00+02:00;3600
353480097;353480097;BIKE;2024-09-02 00:00:00+02:00;2024-10-18 18:00:00+02:00;900
101030470;101030470;PEDESTRIAN;2016-04-06 00:00:00+02:00;;900
102030470;102030470;PEDESTRIAN;2016-04-06 00:00:00+02:00;;900
102017788;102017788;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
69194.00013.02.01;69194.00013.02.01;PEDESTRIAN;2024-04-04 21:00:00+02:00;2025-12-18 10:00:00+01:00;3600
353302063;353302063;CAR;2021-08-31 00:00:00+02:00;2023-04-07 19:13:00+02:00;780
69266.00541.02.00;69266.00541.02.00;PEDESTRIAN;2024-06-26 13:00:00+02:00;2024-09-19 11:00:00+02:00;3600
69266.00541.02.01;69266.00541.02.01;PEDESTRIAN;2024-06-26 13:00:00+02:00;2024-09-19 11:00:00+02:00;3600
69256.00190.02.01;69256.00190.02.01;PEDESTRIAN;2024-04-30 22:00:00+02:00;2025-10-23 14:00:00+02:00;3600
69266.00611.02.00;69266.00611.02.00;PEDESTRIAN;2024-04-03 22:00:00+02:00;2025-12-18 10:00:00+01:00;3600
69382.00652.02.01;69382.00652.02.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 10:00:00+01:00;3600
69382.02085.03.00;69382.02085.03.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 10:00:00+01:00;3600
353246254;353246254;BIKE;2013-01-01 00:00:00+01:00;2024-10-07 00:00:00+02:00;3600
69387.00040.02.00;69387.00040.02.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2023-08-03 10:55:00+02:00;300
353246258;353246258;BIKE;2013-01-01 00:00:00+01:00;2024-10-07 00:00:00+02:00;3600
69194.00013.02.00;69194.00013.02.00;PEDESTRIAN;2024-04-04 21:00:00+02:00;2025-12-18 10:00:00+01:00;3600
353479603;353479603;BIKE;2024-09-02 00:00:00+02:00;2024-10-18 18:00:00+02:00;900
353479604;353479604;BIKE;2024-09-02 00:00:00+02:00;2024-10-18 18:00:00+02:00;900
353660558;353660558;E-SCOOTER;2025-11-28 01:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353660564;353660564;E-SCOOTER;2025-11-28 01:00:00+01:00;2025-12-18 00:00:00+01:00;3600
69383.01432.04.01;69383.01432.04.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2024-09-01 07:00:00+02:00;3600
102030637;102030637;PEDESTRIAN;2016-05-27 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
