deveui;horodate;degre_celsius
70b3d580a0100605;29/04/2022 23:59;14,75
70b3d580a0100647;29/04/2022 23:58;14
70b3d580a0100648;29/04/2022 23:56;13,625
70b3d580a0100623;29/04/2022 23:52;13,5625
70b3d580a0100654;29/04/2022 23:51;15,25
70b3d580a0100657;29/04/2022 23:47;14,9375
70b3d580a0100652;29/04/2022 23:45;12,4375
70b3d580a01007a5;29/04/2022 23:44;12,8125
70b3d580a0100543;29/04/2022 23:42;14,875
70b3d580a01006cf;29/04/2022 23:41;12,9375
70b3d580a0100656;29/04/2022 23:38;14,1875
70b3d580a0100550;29/04/2022 23:35;15,125
70b3d580a0100550;29/04/2022 23:35;15,125
70b3d580a0100742;29/04/2022 23:34;12,0625
70b3d580a01005fa;29/04/2022 23:33;15,1875
70b3d580a0100600;29/04/2022 23:31;15,3125
70b3d580a0100549;29/04/2022 23:31;15,1875
70b3d580a0100549;29/04/2022 23:31;15,1875
70b3d580a010054c;29/04/2022 23:30;15,25
70b3d580a0100605;29/04/2022 23:29;15,0625
70b3d580a0100647;29/04/2022 23:28;14,5
70b3d580a0100648;29/04/2022 23:26;13,9375
70b3d580a0100623;29/04/2022 23:22;14
70b3d580a0100654;29/04/2022 23:21;15,5625
70b3d580a0100657;29/04/2022 23:17;15,375
70b3d580a0100652;29/04/2022 23:15;12,75
70b3d580a01007a5;29/04/2022 23:14;13,625
70b3d580a0100543;29/04/2022 23:12;15,125
70b3d580a01006cf;29/04/2022 23:11;13,5
70b3d580a0100656;29/04/2022 23:08;14,375
70b3d580a0100550;29/04/2022 23:05;15,4375
70b3d580a0100550;29/04/2022 23:05;15,4375
70b3d580a0100742;29/04/2022 23:04;12,8125
70b3d580a01005fa;29/04/2022 23:03;15,5
70b3d580a0100600;29/04/2022 23:01;15,6875
70b3d580a0100549;29/04/2022 23:01;15,4375
70b3d580a0100549;29/04/2022 23:01;15,4375
70b3d580a010054c;29/04/2022 23:00;15,625
70b3d580a0100605;29/04/2022 22:59;15,375
70b3d580a0100647;29/04/2022 22:58;14,8125
70b3d580a0100648;29/04/2022 22:56;14,3125
70b3d580a0100623;29/04/2022 22:52;14,3125
70b3d580a0100654;29/04/2022 22:51;15,8125
70b3d580a0100657;29/04/2022 22:47;15,5625
70b3d580a0100652;29/04/2022 22:45;13,0625
70b3d580a01007a5;29/04/2022 22:44;14,25
70b3d580a0100543;29/04/2022 22:42;15,4375
70b3d580a01006cf;29/04/2022 22:41;13,9375
70b3d580a0100656;29/04/2022 22:38;14,625
70b3d580a0100550;29/04/2022 22:35;15,8125
70b3d580a0100742;29/04/2022 22:35;13,125
70b3d580a01005fa;29/04/2022 22:33;15,5625
70b3d580a0100600;29/04/2022 22:31;15,6875
70b3d580a0100549;29/04/2022 22:31;15,5625
70b3d580a0100549;29/04/2022 22:31;15,5625
70b3d580a010054c;29/04/2022 22:30;15,625
70b3d580a0100605;29/04/2022 22:29;15,5625
70b3d580a0100647;29/04/2022 22:28;15,0625
70b3d580a0100648;29/04/2022 22:26;14,375
70b3d580a0100623;29/04/2022 22:22;14,3125
70b3d580a0100654;29/04/2022 22:21;16,125
70b3d580a0100657;29/04/2022 22:17;15,8125
70b3d580a0100652;29/04/2022 22:15;13,25
70b3d580a01007a5;29/04/2022 22:14;14,5
70b3d580a0100543;29/04/2022 22:12;15,375
